# Src-x Src-y Src-Int Rec-x Rec-y Rec-Int
0.0000 0.0000 9.3470 1.0000 0.0244 3.2928
0.0000 0.0000 3.0927 1.0000 0.0488 1.0693
0.0000 0.0000 2.7370 1.0000 0.0732 0.9324
0.0000 0.0000 8.2651 1.0000 0.0976 2.7778
0.0000 0.0000 8.2971 1.0000 0.1220 2.7513
0.0000 0.0000 4.0737 1.0000 0.1463 1.3328
0.0000 0.0000 1.2783 1.0000 0.1707 0.4123
0.0000 0.0000 1.1876 1.0000 0.1951 0.3780
0.0000 0.0000 7.6384 1.0000 0.2195 2.3910
0.0000 0.0000 8.9912 1.0000 0.2439 2.7731
0.0000 0.0000 4.3205 1.0000 0.2683 1.3116
0.0000 0.0000 6.6628 1.0000 0.2927 1.9897
0.0000 0.0000 3.6235 1.0000 0.3171 0.9862
0.0000 0.0000 3.9725 1.0000 0.3415 1.0464
0.0000 0.0000 4.5989 1.0000 0.3659 1.2046
0.0000 0.0000 4.1534 1.0000 0.3902 1.0657
0.0000 0.0000 9.4219 1.0000 0.4146 2.3684
0.0000 0.0000 5.3020 1.0000 0.4390 1.2719
0.0000 0.0000 1.3111 1.0000 0.4634 0.3010
0.0000 0.0000 2.3207 1.0000 0.4878 0.4958
0.0000 0.0000 4.3715 1.0000 0.5122 0.9248
0.0000 0.0000 4.3894 1.0000 0.5366 0.9857
0.0000 0.0000 5.1571 1.0000 0.5610 1.1496
0.0000 0.0000 3.0446 1.0000 0.5854 0.6616
0.0000 0.0000 3.7190 1.0000 0.6098 0.7704
0.0000 0.0000 6.5912 1.0000 0.6341 1.3068
0.0000 0.0000 9.7049 1.0000 0.6585 1.8949
0.0000 0.0000 5.5825 1.0000 0.6829 1.0738
0.0000 0.0000 9.1557 1.0000 0.7073 1.7536
0.0000 0.0000 3.5043 1.0000 0.7317 0.6531
0.0000 0.0000 9.9906 1.0000 0.7561 1.8205
0.0000 0.0000 3.7018 1.0000 0.7805 0.6610
0.0000 0.0000 6.6045 1.0000 0.8049 1.1606
0.0000 0.0000 7.1727 1.0000 0.8293 1.2411
0.0000 0.0000 3.5582 1.0000 0.8537 0.5923
0.0000 0.0000 9.3306 1.0000 0.8780 1.5135
0.0000 0.0000 5.9649 1.0000 0.9024 0.9360
0.0000 0.0000 4.5968 1.0000 0.9268 0.7026
0.0000 0.0000 3.8875 1.0000 0.9512 0.5718
0.0000 0.0000 8.0182 1.0000 0.9756 1.1464
0.0000 0.0000 3.0801 0.0244 1.0000 1.0020
0.0000 0.0000 5.1117 0.0488 1.0000 1.5849
0.0000 0.0000 8.1708 0.0732 1.0000 2.4532
0.0000 0.0000 3.2507 0.0976 1.0000 0.9464
0.0000 0.0000 9.4510 0.1220 1.0000 2.6809
0.0000 0.0000 3.4046 0.1463 1.0000 0.9430
0.0000 0.0000 5.3099 0.1707 1.0000 1.4368
0.0000 0.0000 8.7380 0.1951 1.0000 2.3194
0.0000 0.0000 1.4573 0.2195 1.0000 0.3776
0.0000 0.0000 4.7856 0.2439 1.0000 1.2175
0.0000 0.0000 1.1868 0.2683 1.0000 0.2964
0.0000 0.0000 5.6588 0.2927 1.0000 1.3878
0.0000 0.0000 9.3086 0.3171 1.0000 2.2388
0.0000 0.0000 1.0197 0.3415 1.0000 0.2409
0.0000 0.0000 4.0405 0.3659 1.0000 0.9228
0.0000 0.0000 6.6798 0.3902 1.0000 1.4641
0.0000 0.0000 1.4073 0.4146 1.0000 0.2987
0.0000 0.0000 1.5517 0.4390 1.0000 0.3062
0.0000 0.0000 4.9238 0.4634 1.0000 0.9275
0.0000 0.0000 7.9134 0.4878 1.0000 1.4551
0.0000 0.0000 7.1580 0.5122 1.0000 1.2792
0.0000 0.0000 3.8140 0.5366 1.0000 0.6783
0.0000 0.0000 5.1609 0.5610 1.0000 0.9109
0.0000 0.0000 6.8790 0.5854 1.0000 1.2100
0.0000 0.0000 3.7853 0.6098 1.0000 0.6660
0.0000 0.0000 2.1185 0.6341 1.0000 0.3735
0.0000 0.0000 8.7812 0.6585 1.0000 1.5400
0.0000 0.0000 2.8741 0.6829 1.0000 0.4892
0.0000 0.0000 1.5722 0.7073 1.0000 0.2587
0.0000 0.0000 2.2105 0.7317 1.0000 0.3569
0.0000 0.0000 5.7734 0.7561 1.0000 0.9458
0.0000 0.0000 5.1708 0.7805 1.0000 0.8469
0.0000 0.0000 3.2853 0.8049 1.0000 0.5311
0.0000 0.0000 3.4005 0.8293 1.0000 0.5422
0.0000 0.0000 8.2354 0.8537 1.0000 1.2865
0.0000 0.0000 3.9190 0.8780 1.0000 0.5905
0.0000 0.0000 3.8166 0.9024 1.0000 0.5583
0.0000 0.0000 8.4917 0.9268 1.0000 1.1895
0.0000 0.0000 4.2492 0.9512 1.0000 0.5819
0.0000 0.0000 3.7972 0.9756 1.0000 0.5176
0.0000 0.0000 6.1173 0.0000 1.0000 2.1068
0.0000 0.0000 9.0661 1.0000 0.0000 3.2608
0.0000 0.0000 6.8340 1.0000 1.0000 0.9379
0.0000 0.2000 1.8038 1.0000 0.0244 0.5539
0.0000 0.2000 8.1892 1.0000 0.0488 2.5084
0.0000 0.2000 5.1852 1.0000 0.0732 1.5832
0.0000 0.2000 5.4035 1.0000 0.0976 1.6453
0.0000 0.2000 9.0389 1.0000 0.1220 2.7380
0.0000 0.2000 5.4239 1.0000 0.1463 1.6332
0.0000 0.2000 8.7957 1.0000 0.1707 2.6318
0.0000 0.2000 4.8021 1.0000 0.1951 1.4285
0.0000 0.2000 9.7276 1.0000 0.2195 2.8728
0.0000 0.2000 6.5062 1.0000 0.2439 1.8991
0.0000 0.2000 9.8354 1.0000 0.2683 2.5269
0.0000 0.2000 5.6130 1.0000 0.2927 1.3849
0.0000 0.2000 9.8699 1.0000 0.3171 2.3347
0.0000 0.2000 3.0313 1.0000 0.3415 0.7035
0.0000 0.2000 5.9136 1.0000 0.3659 1.2664
0.0000 0.2000 8.7945 1.0000 0.3902 1.8334
0.0000 0.2000 1.0586 1.0000 0.4146 0.2187
0.0000 0.2000 7.6501 1.0000 0.4390 1.6109
0.0000 0.2000 7.9332 1.0000 0.4634 1.7547
0.0000 0.2000 2.8628 1.0000 0.4878 0.6132
0.0000 0.2000 8.6747 1.0000 0.5122 1.9051
0.0000 0.2000 4.1659 1.0000 0.5366 0.9420
0.0000 0.2000 7.6168 1.0000 0.5610 1.7436
0.0000 0.2000 6.8021 1.0000 0.5854 1.5334
0.0000 0.2000 3.9045 1.0000 0.6098 0.8481
